# ind1,ind2,ind1_snps,ind2_snps,both_snps,match,match_perc,pop
Pacuta_ATAC_TP6_1050,Pacuta_ATHC_TP10_2197,729250,729250,729250,711886.500000,97.620000,NA
Pacuta_HTAC_TP5_1303,Pacuta_HTHC_TP5_1168,729250,729250,729250,711850.500000,97.610000,NA
Pacuta_ATHC_TP1_1207,Pacuta_HTAC_TP3_2026,729250,729250,729250,711844.000000,97.610000,NA
Pacuta_ATHC_TP1_1207,Pacuta_ATHC_TP3_1219,729250,729250,729250,711805.500000,97.610000,NA
Pacuta_ATHC_TP11_2879,Pacuta_HTHC_TP11_1416,729250,729250,729250,711848.500000,97.610000,NA
Pacuta_ATHC_TP10_2197,Pacuta_HTHC_TP5_1168,729250,729250,729250,711824.500000,97.610000,NA
Pacuta_ATHC_TP10_2197,Pacuta_ATHC_TP11_2879,729250,729250,729250,711817.500000,97.610000,NA
Pacuta_ATAC_TP7_1047,Pacuta_HTHC_TP3_2527,729250,729250,729250,711803.500000,97.610000,NA
Pacuta_ATAC_TP7_1047,Pacuta_ATHC_TP6_2999,729250,729250,729250,711801.000000,97.610000,NA
Pacuta_ATHC_TP8_2861,Pacuta_HTAC_TP5_1303,729250,729250,729250,711766.500000,97.600000,NA
Pacuta_ATAC_TP7_1047,Pacuta_HTHC_TP11_1416,729250,729250,729250,711724.000000,97.600000,NA
Pacuta_HTAC_TP3_2026,Pacuta_HTHC_TP5_1168,729250,729250,729250,711711.000000,97.590000,NA
Pacuta_ATHC_TP1_1207,Pacuta_HTHC_TP3_2527,729250,729250,729250,711665.000000,97.590000,NA
Pacuta_ATHC_TP1_1207,Pacuta_ATHC_TP6_2999,729250,729250,729250,711651.500000,97.590000,NA
Pacuta_ATHC_TP10_2197,Pacuta_HTAC_TP7_1487,729250,729250,729250,711695.000000,97.590000,NA
Pacuta_HTAC_TP3_2026,Pacuta_HTAC_TP5_1571,729250,729250,729250,711583.000000,97.580000,NA
Pacuta_ATHC_TP6_2999,Pacuta_HTAC_TP8_1329,729250,729250,729250,711581.500000,97.580000,NA
Pacuta_ATHC_TP3_1219,Pacuta_HTHC_TP5_1168,729250,729250,729250,711625.500000,97.580000,NA
Pacuta_HTAC_TP5_1303,Pacuta_HTAC_TP8_1329,729250,729250,729250,711514.500000,97.570000,NA
Pacuta_HTAC_TP5_1303,Pacuta_HTAC_TP5_1571,729250,729250,729250,711504.000000,97.570000,NA
Pacuta_ATHC_TP8_2861,Pacuta_HTAC_TP3_2026,729250,729250,729250,711519.000000,97.570000,NA
Pacuta_HTAC_TP3_2026,Pacuta_HTAC_TP8_1329,729250,729250,729250,711479.000000,97.560000,NA
Pacuta_ATHC_TP7_1281,Pacuta_HTAC_TP3_2026,729250,729250,729250,711462.000000,97.560000,NA
Pacuta_ATHC_TP3_1219,Pacuta_HTAC_TP8_1329,729250,729250,729250,711436.000000,97.560000,NA
Pacuta_ATHC_TP3_1219,Pacuta_HTAC_TP5_1571,729250,729250,729250,711470.500000,97.560000,NA
Pacuta_ATHC_TP3_1219,Pacuta_ATHC_TP8_2861,729250,729250,729250,711488.000000,97.560000,NA
Pacuta_ATAC_TP1_1775,Pacuta_ATHC_TP5_2212,729250,729250,729250,711464.000000,97.560000,NA
Pacuta_HTAC_TP5_1571,Pacuta_HTHC_TP3_2527,729250,729250,729250,711379.500000,97.550000,NA
Pacuta_HTAC_TP5_1303,Pacuta_HTAC_TP7_1487,729250,729250,729250,711376.500000,97.550000,NA
Pacuta_ATHC_TP7_1281,Pacuta_HTAC_TP5_1303,729250,729250,729250,711384.500000,97.550000,NA
Pacuta_ATHC_TP6_2999,Pacuta_ATHC_TP8_2861,729250,729250,729250,711374.000000,97.550000,NA
Pacuta_ATHC_TP10_2197,Pacuta_ATHC_TP1_2977,729250,729250,729250,711352.500000,97.550000,NA
Pacuta_ATAC_TP6_1050,Pacuta_HTHC_TP3_2527,729250,729250,729250,711408.500000,97.550000,NA
Pacuta_ATAC_TP6_1050,Pacuta_HTAC_TP5_1303,729250,729250,729250,711416.000000,97.550000,NA
Pacuta_ATAC_TP6_1050,Pacuta_HTAC_TP3_2026,729250,729250,729250,711405.000000,97.550000,NA
Pacuta_HTHC_TP3_2527,Pacuta_HTHC_TP5_1168,729250,729250,729250,711315.500000,97.540000,NA
Pacuta_HTAC_TP8_1329,Pacuta_HTHC_TP3_2527,729250,729250,729250,711288.000000,97.540000,NA
Pacuta_ATHC_TP6_2999,Pacuta_HTHC_TP5_1168,729250,729250,729250,711303.000000,97.540000,NA
Pacuta_ATHC_TP6_2999,Pacuta_HTAC_TP5_1571,729250,729250,729250,711288.000000,97.540000,NA
Pacuta_ATHC_TP1_2977,Pacuta_HTAC_TP5_1303,729250,729250,729250,711303.500000,97.540000,NA
Pacuta_ATAC_TP1_1775,Pacuta_ATAC_TP6_1468,729250,729250,729250,711309.500000,97.540000,NA
Pacuta_HTHC_TP11_1416,Pacuta_HTHC_TP4_1169,729250,729250,729250,711264.000000,97.530000,NA
Pacuta_HTAC_TP3_2026,Pacuta_HTAC_TP7_1487,729250,729250,729250,711218.500000,97.530000,NA
Pacuta_ATHC_TP3_1219,Pacuta_ATHC_TP7_1281,729250,729250,729250,711210.500000,97.530000,NA
Pacuta_ATAC_TP6_1050,Pacuta_ATHC_TP6_2999,729250,729250,729250,711273.500000,97.530000,NA
Pacuta_ATAC_TP6_1050,Pacuta_ATHC_TP3_1219,729250,729250,729250,711202.500000,97.530000,NA
Pacuta_ATHC_TP7_1281,Pacuta_HTHC_TP3_2527,729250,729250,729250,711157.500000,97.520000,NA
Pacuta_ATHC_TP1_2977,Pacuta_HTAC_TP3_2026,729250,729250,729250,711129.500000,97.520000,NA
Pacuta_ATHC_TP8_2861,Pacuta_HTHC_TP3_2527,729250,729250,729250,711060.000000,97.510000,NA
Pacuta_ATHC_TP6_2999,Pacuta_HTAC_TP7_1487,729250,729250,729250,711061.500000,97.510000,NA
Pacuta_ATHC_TP6_2999,Pacuta_ATHC_TP7_1281,729250,729250,729250,711100.500000,97.510000,NA
Pacuta_ATHC_TP5_2212,Pacuta_HTAC_TP9_1486,729250,729250,729250,711088.500000,97.510000,NA
Pacuta_ATHC_TP11_2879,Pacuta_HTAC_TP3_2026,729250,729250,729250,711122.000000,97.510000,NA
Pacuta_HTAC_TP7_1487,Pacuta_HTHC_TP3_2527,729250,729250,729250,711023.000000,97.500000,NA
Pacuta_ATHC_TP3_1219,Pacuta_HTAC_TP7_1487,729250,729250,729250,710991.000000,97.500000,NA
Pacuta_ATHC_TP1_2977,Pacuta_ATHC_TP3_1219,729250,729250,729250,710994.000000,97.500000,NA
Pacuta_ATHC_TP11_2879,Pacuta_HTHC_TP3_2527,729250,729250,729250,711019.500000,97.500000,NA
Pacuta_ATHC_TP11_2879,Pacuta_HTAC_TP5_1303,729250,729250,729250,711047.000000,97.500000,NA
Pacuta_ATHC_TP11_2879,Pacuta_ATHC_TP3_1219,729250,729250,729250,711033.000000,97.500000,NA
Pacuta_ATAC_TP6_1468,Pacuta_HTAC_TP9_1486,729250,729250,729250,710995.000000,97.500000,NA
Pacuta_ATHC_TP11_2879,Pacuta_ATHC_TP6_2999,729250,729250,729250,710982.000000,97.490000,NA
Pacuta_ATHC_TP10_2197,Pacuta_HTHC_TP4_1169,729250,729250,729250,710982.000000,97.490000,NA
