ind1	ind2	match_perc
Pacuta_HTAC_TP5_1571	Pacuta_HTHC_TP3_2527	97.550000
Pacuta_HTHC_TP3_2527	Pacuta_HTAC_TP5_1571	97.550000
Pacuta_HTAC_TP5_1303	Pacuta_HTAC_TP7_1487	97.550000
Pacuta_HTAC_TP7_1487	Pacuta_HTAC_TP5_1303	97.550000
Pacuta_ATHC_TP7_1281	Pacuta_HTAC_TP5_1303	97.550000
Pacuta_HTAC_TP5_1303	Pacuta_ATHC_TP7_1281	97.550000
Pacuta_ATHC_TP6_2999	Pacuta_ATHC_TP8_2861	97.550000
Pacuta_ATHC_TP8_2861	Pacuta_ATHC_TP6_2999	97.550000
Pacuta_ATHC_TP10_2197	Pacuta_ATHC_TP1_2977	97.550000
Pacuta_ATHC_TP1_2977	Pacuta_ATHC_TP10_2197	97.550000
Pacuta_ATAC_TP6_1050	Pacuta_HTHC_TP3_2527	97.550000
Pacuta_HTHC_TP3_2527	Pacuta_ATAC_TP6_1050	97.550000
Pacuta_ATAC_TP6_1050	Pacuta_HTAC_TP5_1303	97.550000
Pacuta_HTAC_TP5_1303	Pacuta_ATAC_TP6_1050	97.550000
Pacuta_ATAC_TP6_1050	Pacuta_HTAC_TP3_2026	97.550000
Pacuta_HTAC_TP3_2026	Pacuta_ATAC_TP6_1050	97.550000
Pacuta_HTHC_TP3_2527	Pacuta_HTHC_TP5_1168	97.540000
Pacuta_HTHC_TP5_1168	Pacuta_HTHC_TP3_2527	97.540000
Pacuta_HTAC_TP8_1329	Pacuta_HTHC_TP3_2527	97.540000
Pacuta_HTHC_TP3_2527	Pacuta_HTAC_TP8_1329	97.540000
Pacuta_ATHC_TP6_2999	Pacuta_HTHC_TP5_1168	97.540000
Pacuta_HTHC_TP5_1168	Pacuta_ATHC_TP6_2999	97.540000
Pacuta_ATHC_TP6_2999	Pacuta_HTAC_TP5_1571	97.540000
Pacuta_HTAC_TP5_1571	Pacuta_ATHC_TP6_2999	97.540000
Pacuta_ATHC_TP1_2977	Pacuta_HTAC_TP5_1303	97.540000
