sample	species	treatment	timepoint	plugid	reef	reef_color	ploidy	ploidy_color	group	group_color
Mcapitata_HTHC_TP1_2081	Mcapitata	HTHC	TP1	2081	HIMB	#b35806	2	#01665e	Ungrouped	#808080
Mcapitata_HTHC_TP3_1128	Mcapitata	HTHC	TP3	1128	HIMB	#b35806	2	#01665e	Ungrouped	#808080
Mcapitata_HTHC_TP3_1277	Mcapitata	HTHC	TP3	1277	HIMB	#b35806	2	#01665e	Ungrouped	#808080
Mcapitata_HTHC_TP3_2518	Mcapitata	HTHC	TP3	2518	Reef.18	#d8daeb	2	#01665e	Ungrouped	#808080
Mcapitata_HTHC_TP4_1124	Mcapitata	HTHC	TP4	1124	Reef.42.43	#542788	2	#01665e	Ungrouped	#808080
Mcapitata_HTHC_TP4_1328	Mcapitata	HTHC	TP4	1328	Reef.11.13	#fee0b6	2	#01665e	Ungrouped	#808080
Mcapitata_HTHC_TP4_2204	Mcapitata	HTHC	TP4	2204	Reef.42.43	#542788	2	#01665e	Ungrouped	#808080
Mcapitata_HTHC_TP5_1345	Mcapitata	HTHC	TP5	1345	Reef.18	#d8daeb	2	#01665e	Ungrouped	#808080
Mcapitata_HTHC_TP5_1449	Mcapitata	HTHC	TP5	1449	Lilipuna.Fringe	#f1a340	2	#01665e	Ungrouped	#808080
Mcapitata_HTHC_TP5_1694	Mcapitata	HTHC	TP5	1694	Reef.11.13	#fee0b6	2	#01665e	Ungrouped	#808080
Mcapitata_HTHC_TP6_1164	Mcapitata	HTHC	TP6	1164	Reef.35.36	#998ec3	2	#01665e	Ungrouped	#808080
Mcapitata_HTHC_TP6_1317	Mcapitata	HTHC	TP6	1317	Reef.35.36	#998ec3	2	#01665e	Ungrouped	#808080
Mcapitata_HTHC_TP6_1604	Mcapitata	HTHC	TP6	1604	Reef.11.13	#fee0b6	2	#01665e	Ungrouped	#808080
Mcapitata_HTHC_TP7_1126	Mcapitata	HTHC	TP7	1126	Reef.42.43	#542788	2	#01665e	Ungrouped	#808080
Mcapitata_HTHC_TP7_1250	Mcapitata	HTHC	TP7	1250	Reef.42.43	#542788	2	#01665e	Ungrouped	#808080
Mcapitata_HTHC_TP7_2419	Mcapitata	HTHC	TP7	2419	Reef.18	#d8daeb	2	#01665e	Ungrouped	#808080
Mcapitata_HTHC_TP8_1082	Mcapitata	HTHC	TP8	1082	Reef.11.13	#fee0b6	2	#01665e	Ungrouped	#808080
Mcapitata_HTHC_TP8_1246	Mcapitata	HTHC	TP8	1246	Reef.42.43	#542788	2	#01665e	Ungrouped	#808080
Mcapitata_HTHC_TP8_2067	Mcapitata	HTHC	TP8	2067	HIMB	#b35806	2	#01665e	Ungrouped	#808080
Mcapitata_HTHC_TP9_1078	Mcapitata	HTHC	TP9	1078	Reef.11.13	#fee0b6	2	#01665e	Ungrouped	#808080
Mcapitata_HTHC_TP9_1331	Mcapitata	HTHC	TP9	1331	Reef.11.13	#fee0b6	2	#01665e	Ungrouped	#808080
Mcapitata_HTHC_TP9_2009	Mcapitata	HTHC	TP9	2009	Lilipuna.Fringe	#f1a340	2	#01665e	Ungrouped	#808080
Mcapitata_HTHC_TP10_1074	Mcapitata	HTHC	TP10	1074	Reef.11.13	#fee0b6	2	#01665e	Ungrouped	#808080
Mcapitata_HTHC_TP10_1332	Mcapitata	HTHC	TP10	1332	Reef.11.13	#fee0b6	2	#01665e	Ungrouped	#808080
Mcapitata_HTHC_TP10_1689	Mcapitata	HTHC	TP10	1689	Reef.11.13	#fee0b6	2	#01665e	Ungrouped	#808080
Mcapitata_HTHC_TP11_1178	Mcapitata	HTHC	TP11	1178	Lilipuna.Fringe	#f1a340	2	#01665e	Ungrouped	#808080
Mcapitata_HTHC_TP11_1270	Mcapitata	HTHC	TP11	1270	HIMB	#b35806	2	#01665e	Ungrouped	#808080
Mcapitata_HTHC_TP11_2511	Mcapitata	HTHC	TP11	2511	Reef.18	#d8daeb	2	#01665e	Ungrouped	#808080
Mcapitata_HTHC_TP12_1140	Mcapitata	HTHC	TP12	1140	HIMB	#b35806	2	#01665e	Ungrouped	#808080
Mcapitata_HTHC_TP12_1274	Mcapitata	HTHC	TP12	1274	HIMB	#b35806	2	#01665e	Ungrouped	#808080
