ind1	ind2	match_perc
Mcapitata_ATAC_TP4_1609	Mcapitata_ATHC_TP10_1204	86.200000
Mcapitata_ATHC_TP10_1204	Mcapitata_ATAC_TP4_1609	86.200000
Mcapitata_ATAC_TP1_1037	Mcapitata_HTHC_TP4_2204	86.200000
Mcapitata_HTHC_TP4_2204	Mcapitata_ATAC_TP1_1037	86.200000
Mcapitata_HTAC_TP8_2410	Mcapitata_HTHC_TP7_1126	86.190000
Mcapitata_HTHC_TP7_1126	Mcapitata_HTAC_TP8_2410	86.190000
Mcapitata_HTAC_TP5_1321	Mcapitata_HTHC_TP5_1694	86.190000
Mcapitata_HTHC_TP5_1694	Mcapitata_HTAC_TP5_1321	86.190000
Mcapitata_ATHC_TP8_1260	Mcapitata_HTHC_TP3_1277	86.190000
Mcapitata_HTHC_TP3_1277	Mcapitata_ATHC_TP8_1260	86.190000
Mcapitata_ATAC_TP5_1610	Mcapitata_HTHC_TP7_1250	86.190000
Mcapitata_HTHC_TP7_1250	Mcapitata_ATAC_TP5_1610	86.190000
Mcapitata_ATAC_TP5_1610	Mcapitata_ATAC_TP8_1083	86.190000
Mcapitata_ATAC_TP8_1083	Mcapitata_ATAC_TP5_1610	86.190000
Mcapitata_ATHC_TP8_2753	Mcapitata_HTAC_TP7_1278	86.180000
Mcapitata_HTAC_TP7_1278	Mcapitata_ATHC_TP8_2753	86.180000
Mcapitata_ATAC_TP9_1121	Mcapitata_HTAC_TP1_1579	86.180000
Mcapitata_HTAC_TP1_1579	Mcapitata_ATAC_TP9_1121	86.180000
Mcapitata_ATAC_TP11_1076	Mcapitata_ATHC_TP9_1148	86.180000
Mcapitata_ATHC_TP9_1148	Mcapitata_ATAC_TP11_1076	86.180000
Mcapitata_ATHC_TP7_2875	Mcapitata_HTAC_TP5_1321	86.170000
Mcapitata_HTAC_TP5_1321	Mcapitata_ATHC_TP7_2875	86.170000
Mcapitata_ATAC_TP9_1121	Mcapitata_HTAC_TP5_1321	86.170000
Mcapitata_HTAC_TP5_1321	Mcapitata_ATAC_TP9_1121	86.170000
Mcapitata_HTHC_TP6_1604	Mcapitata_HTHC_TP7_1250	86.160000
Mcapitata_HTHC_TP7_1250	Mcapitata_HTHC_TP6_1604	86.160000
Mcapitata_HTHC_TP4_1328	Mcapitata_HTHC_TP7_2419	86.160000
Mcapitata_HTHC_TP7_2419	Mcapitata_HTHC_TP4_1328	86.160000
Mcapitata_HTAC_TP8_2410	Mcapitata_HTHC_TP3_1128	86.160000
Mcapitata_HTHC_TP3_1128	Mcapitata_HTAC_TP8_2410	86.160000
Mcapitata_HTAC_TP5_1321	Mcapitata_HTHC_TP4_1328	86.160000
Mcapitata_HTHC_TP4_1328	Mcapitata_HTAC_TP5_1321	86.160000
