# ind1,ind2,ind1_snps,ind2_snps,both_snps,match,match_perc,pop
Mcapitata_HTAC_TP5_1321,Mcapitata_HTHC_TP5_1694,515952,515952,515952,444674.000000,86.190000,NA
Mcapitata_ATHC_TP8_1260,Mcapitata_HTHC_TP3_1277,515952,515952,515952,444693.000000,86.190000,NA
Mcapitata_ATAC_TP5_1610,Mcapitata_HTHC_TP7_1250,515952,515952,515952,444675.000000,86.190000,NA
Mcapitata_ATAC_TP5_1610,Mcapitata_ATAC_TP8_1083,515952,515952,515952,444724.500000,86.190000,NA
Mcapitata_ATHC_TP8_2753,Mcapitata_HTAC_TP7_1278,515952,515952,515952,444665.000000,86.180000,NA
Mcapitata_ATAC_TP9_1121,Mcapitata_HTAC_TP1_1579,515952,515952,515952,444638.000000,86.180000,NA
Mcapitata_ATAC_TP11_1076,Mcapitata_ATHC_TP9_1148,515952,515952,515952,444643.500000,86.180000,NA
Mcapitata_ATHC_TP7_2875,Mcapitata_HTAC_TP5_1321,515952,515952,515952,444588.500000,86.170000,NA
Mcapitata_ATAC_TP9_1121,Mcapitata_HTAC_TP5_1321,515952,515952,515952,444596.500000,86.170000,NA
Mcapitata_HTHC_TP6_1604,Mcapitata_HTHC_TP7_1250,515952,515952,515952,444568.500000,86.160000,NA
Mcapitata_HTHC_TP4_1328,Mcapitata_HTHC_TP7_2419,515952,515952,515952,444567.000000,86.160000,NA
Mcapitata_HTAC_TP8_2410,Mcapitata_HTHC_TP3_1128,515952,515952,515952,444565.500000,86.160000,NA
Mcapitata_HTAC_TP5_1321,Mcapitata_HTHC_TP4_1328,515952,515952,515952,444545.000000,86.160000,NA
Mcapitata_HTAC_TP4_1481,Mcapitata_HTHC_TP11_1178,515952,515952,515952,444529.500000,86.160000,NA
Mcapitata_ATAC_TP5_1610,Mcapitata_HTAC_TP8_2410,515952,515952,515952,444569.000000,86.160000,NA
Mcapitata_ATAC_TP5_1610,Mcapitata_ATHC_TP11_2756,515952,515952,515952,444537.000000,86.160000,NA
Mcapitata_ATAC_TP1_1037,Mcapitata_ATHC_TP7_2860,515952,515952,515952,444560.000000,86.160000,NA
Mcapitata_HTHC_TP4_1124,Mcapitata_HTHC_TP6_1604,515952,515952,515952,444487.000000,86.150000,NA
Mcapitata_HTAC_TP8_2410,Mcapitata_HTHC_TP5_1345,515952,515952,515952,444482.500000,86.150000,NA
Mcapitata_ATHC_TP7_2860,Mcapitata_HTAC_TP7_1278,515952,515952,515952,444511.500000,86.150000,NA
Mcapitata_ATHC_TP6_2555,Mcapitata_HTAC_TP5_1321,515952,515952,515952,444475.500000,86.150000,NA
Mcapitata_ATAC_TP9_1121,Mcapitata_ATHC_TP12_2990,515952,515952,515952,444469.500000,86.150000,NA
Mcapitata_ATAC_TP1_1037,Mcapitata_ATHC_TP8_2735,515952,515952,515952,444514.000000,86.150000,NA
Mcapitata_HTAC_TP8_2410,Mcapitata_HTHC_TP3_2518,515952,515952,515952,444466.500000,86.140000,NA
Mcapitata_ATHC_TP10_1204,Mcapitata_HTHC_TP6_1604,515952,515952,515952,444420.500000,86.140000,NA
