a	b	ida	idb	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	F_diff_a_b	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter
69	97	Mcapitata_HTAC_TP11_1248	Mcapitata_HTAC_TP9_1467	2247673	0.959652	0.000001	0.025901	0.000000	0.000000	0.000001	0.000000	0.014444	0.000002	0.025903	0.014446	0.014445	0.012952	0.000002	0.000002	0.040345	0.000002	0.040347	0.040347	0.000000	-2982844.432657	86	-1	0.174751	4.568249e-01,1.552026e-01,2.994325e-02,1.566185e-01,1.192041e-01,2.003409e-02,2.888327e-02,2.131454e-02,1.197478e-02	0.493494	0.289333	0.002622	-3340893.450135	14
69	98	Mcapitata_HTAC_TP11_1248	Mcapitata_HTAC_TP9_2412	2013175	0.902234	0.000021	0.011311	0.065014	0.000000	0.000000	0.000000	0.021421	0.000000	0.011321	0.021421	0.086435	0.005661	0.000000	0.000000	0.032731	0.000000	0.032731	0.065249	-0.032507	-2694795.408822	58	-1	0.156519	4.642557e-01,1.386640e-01,3.651235e-02,1.679717e-01,1.059854e-01,2.486304e-02,3.154069e-02,1.825582e-02,1.195134e-02	0.642098	0.253670	-0.053622	-3009957.982822	14
69	99	Mcapitata_HTAC_TP11_1248	Mcapitata_HTHC_TP10_1074	1847067	0.856454	0.000008	0.011379	0.115137	0.000000	0.000000	0.000000	0.017022	0.000001	0.011383	0.017022	0.132159	0.005692	0.000001	0.000001	0.028400	0.000001	0.028401	0.085973	-0.057569	-2490901.911073	70	-1	0.143605	4.676279e-01,1.303339e-01,3.895992e-02,1.738979e-01,1.008559e-01,2.661907e-02,3.199553e-02,1.718837e-02,1.252154e-02	0.703533	0.240709	-0.074679	-2781768.910359	14
69	100	Mcapitata_HTAC_TP11_1248	Mcapitata_HTHC_TP10_1332	2703670	0.950504	0.000000	0.026482	0.000000	0.000000	0.000311	0.000000	0.022699	0.000004	0.026486	0.023014	0.022703	0.013245	0.000004	0.000004	0.049181	0.000004	0.049185	0.049340	0.000155	-3663401.300763	74	-1	0.210203	4.509094e-01,1.651260e-01,3.209962e-02,1.460646e-01,1.193213e-01,2.143047e-02,3.098006e-02,2.221268e-02,1.185593e-02	0.528654	0.285517	-0.011522	-4058805.660705	14
69	101	Mcapitata_HTAC_TP11_1248	Mcapitata_HTHC_TP10_1689	2375769	0.968643	0.000002	0.010516	0.000001	0.000001	0.000014	0.000000	0.020823	0.000000	0.010518	0.020837	0.020824	0.005259	0.000000	0.000000	0.031340	0.000000	0.031340	0.031349	0.000007	-3180858.072073	50	-1	0.184710	4.493571e-01,1.622016e-01,3.157473e-02,1.544599e-01,1.182561e-01,2.095800e-02,3.214004e-02,1.952875e-02,1.152380e-02	0.538786	0.280985	-0.015452	-3554531.130197	14
69	102	Mcapitata_HTAC_TP11_1248	Mcapitata_HTHC_TP11_1178	2197472	0.963561	0.000000	0.020007	0.000009	0.000000	0.000000	0.000000	0.016422	0.000000	0.020007	0.016422	0.016431	0.010004	0.000000	0.000000	0.036429	0.000000	0.036429	0.036434	-0.000004	-2930209.088149	330	-1	0.170848	4.552959e-01,1.548921e-01,3.008114e-02,1.571998e-01,1.181800e-01,2.198204e-02,3.038628e-02,2.054134e-02,1.144136e-02	0.511655	0.284714	-0.004662	-3279707.387110	14
69	103	Mcapitata_HTAC_TP11_1248	Mcapitata_HTHC_TP11_1270	2430717	0.958506	0.000000	0.024939	0.000000	0.000000	0.000001	0.000000	0.016553	0.000001	0.024940	0.016554	0.016553	0.012470	0.000001	0.000001	0.041492	0.000001	0.041493	0.041493	0.000001	-3248678.407997	62	-1	0.188982	4.547682e-01,1.583252e-01,3.055537e-02,1.508445e-01,1.215667e-01,2.021103e-02,3.206022e-02,2.089358e-02,1.077517e-02	0.515072	0.294429	-0.006175	-3629086.172967	14
69	104	Mcapitata_HTAC_TP11_1248	Mcapitata_HTHC_TP1_1145	2382535	0.965645	0.000001	0.020684	0.000000	0.000000	0.000006	0.000000	0.013664	0.000001	0.020685	0.013670	0.013664	0.010343	0.000001	0.000001	0.034348	0.000001	0.034349	0.034352	0.000003	-3177309.091060	570	-1	0.185236	4.544387e-01,1.593995e-01,2.969119e-02,1.528523e-01,1.203609e-01,2.010897e-02,3.116532e-02,2.107732e-02,1.090581e-02	0.505617	0.290520	-0.002276	-3551472.843132	14
69	105	Mcapitata_HTAC_TP11_1248	Mcapitata_HTHC_TP11_2511	2376798	0.956687	0.000001	0.032801	0.000000	0.000000	0.000145	0.000000	0.010360	0.000006	0.032807	0.010510	0.010365	0.016407	0.000006	0.000006	0.043161	0.000006	0.043166	0.043239	0.000072	-3147101.011485	50	-1	0.184790	4.585457e-01,1.570309e-01,2.748432e-02,1.532232e-01,1.211494e-01,1.941380e-02,2.980779e-02,2.147122e-02,1.187370e-02	0.472904	0.296621	0.011063	-3520965.359320	14
69	106	Mcapitata_HTAC_TP11_1248	Mcapitata_HTHC_TP1_1323	1952555	0.930408	0.000001	0.010366	0.042276	0.000000	0.000000	0.000001	0.016948	0.000000	0.010367	0.016950	0.059225	0.005184	0.000001	0.000000	0.027314	0.000000	0.027314	0.048454	-0.021138	-2606139.865110	70	-1	0.151806	4.625019e-01,1.412297e-01,3.401459e-02,1.654845e-01,1.102988e-01,2.483837e-02,3.106816e-02,1.963478e-02,1.092925e-02	0.590059	0.264969	-0.034745	-2923244.030616	14
69	107	Mcapitata_HTAC_TP11_1248	Mcapitata_HTHC_TP1_2081	1758716	0.875058	0.000000	0.022454	0.097964	0.000000	0.000000	0.000000	0.004524	0.000000	0.022454	0.004524	0.102488	0.011227	0.000000	0.000000	0.026978	0.000000	0.026978	0.075960	-0.048982	-2346455.383921	62	-1	0.136736	4.679493e-01,1.307959e-01,3.582768e-02,1.734595e-01,1.069976e-01,2.504070e-02,2.918486e-02,1.845845e-02,1.228596e-02	0.607607	0.259220	-0.040992	-2629528.780542	14
69	108	Mcapitata_HTAC_TP11_1248	Mcapitata_HTHC_TP12_1140	2326730	0.965203	0.000000	0.011794	0.000000	0.000000	0.000000	0.000000	0.023003	0.000000	0.011794	0.023003	0.023003	0.005897	0.000000	0.000000	0.034797	0.000000	0.034797	0.034797	-0.000000	-3123525.484354	62	-1	0.180897	4.499026e-01,1.589653e-01,3.308095e-02,1.540683e-01,1.188114e-01,2.173175e-02,3.228451e-02,2.018997e-02,1.096528e-02	0.550161	0.282668	-0.020115	-3486401.862206	14
69	109	Mcapitata_HTAC_TP11_1248	Mcapitata_HTHC_TP12_1274	2320472	0.969905	0.000000	0.014375	0.000000	0.000000	0.000000	0.000000	0.015719	0.000000	0.014375	0.015720	0.015719	0.007188	0.000000	0.000000	0.030095	0.000000	0.030095	0.030095	0.000000	-3085642.910208	246	-1	0.180411	4.547666e-01,1.569711e-01,3.082017e-02,1.554178e-01,1.188009e-01,2.028174e-02,3.106812e-02,2.188588e-02,9.987695e-03	0.520941	0.285274	-0.008403	-3450848.649192	14
69	110	Mcapitata_HTAC_TP11_1248	Mcapitata_HTHC_TP12_2190	2193903	0.964341	0.000003	0.026535	0.000000	0.000000	0.000001	0.000000	0.009120	0.000000	0.026537	0.009121	0.009121	0.013269	0.000000	0.000000	0.035655	0.000000	0.035655	0.035657	0.000000	-2910422.112063	134	-1	0.170570	4.558741e-01,1.560777e-01,2.905091e-02,1.563325e-01,1.201585e-01,2.037316e-02,2.891016e-02,2.181423e-02,1.140874e-02	0.482372	0.291252	0.007121	-3260181.038141	14
69	111	Mcapitata_HTAC_TP11_1248	Mcapitata_HTHC_TP3_1128	1774377	0.902550	0.000000	0.007867	0.074159	0.000000	0.000000	0.000000	0.015424	0.000000	0.007867	0.015424	0.089583	0.003933	0.000000	0.000000	0.023291	0.000000	0.023291	0.060370	-0.037080	-2365140.581792	162	-1	0.137953	4.632959e-01,1.349620e-01,3.668173e-02,1.733440e-01,1.071567e-01,2.356753e-02,3.147970e-02,1.812367e-02,1.138880e-02	0.636091	0.256258	-0.051685	-2651476.752864	14
69	112	Mcapitata_HTAC_TP11_1248	Mcapitata_HTHC_TP3_1277	2307901	0.966964	0.000000	0.020691	0.000000	0.000000	0.000002	0.000000	0.012344	0.000000	0.020691	0.012345	0.012344	0.010346	0.000000	0.000000	0.033035	0.000000	0.033035	0.033036	0.000001	-3067007.001421	662	-1	0.179433	4.556756e-01,1.565786e-01,2.934448e-02,1.563105e-01,1.187650e-01,2.049915e-02,3.001697e-02,2.200219e-02,1.080752e-02	0.499823	0.286352	0.000071	-3428346.166934	14
69	113	Mcapitata_HTAC_TP11_1248	Mcapitata_HTHC_TP3_2518	1924397	0.912022	0.000000	0.005210	0.057962	0.000001	0.000000	0.000000	0.024797	0.000007	0.005218	0.024805	0.082768	0.002613	0.000007	0.000008	0.030007	0.000007	0.030014	0.058997	-0.028981	-2556079.574974	78	-1	0.149617	4.672584e-01,1.337594e-01,3.643494e-02,1.725917e-01,1.062297e-01,2.163414e-02,3.215966e-02,1.861670e-02,1.131533e-02	0.645720	0.255854	-0.055378	-2867676.255657	14
69	114	Mcapitata_HTAC_TP11_1248	Mcapitata_HTHC_TP4_1124	2299246	0.965263	0.000000	0.009311	0.000003	0.000000	0.000005	0.000000	0.025418	0.000000	0.009311	0.025423	0.025421	0.004656	0.000000	0.000000	0.034729	0.000000	0.034729	0.034733	0.000001	-3077330.031836	422	-1	0.178760	4.518723e-01,1.580151e-01,3.324056e-02,1.545403e-01,1.175613e-01,2.131721e-02,3.288239e-02,1.998720e-02,1.058363e-02	0.562455	0.279919	-0.024932	-3433421.438643	14
69	115	Mcapitata_HTAC_TP11_1248	Mcapitata_HTHC_TP4_1328	2136846	0.954254	0.000005	0.037139	0.000006	0.000000	0.000020	0.000000	0.008575	0.000000	0.037142	0.008595	0.008581	0.018571	0.000000	0.000000	0.045714	0.000000	0.045714	0.045730	0.000007	-2840327.238233	259	-1	0.166134	4.589483e-01,1.528689e-01,2.802400e-02,1.554135e-01,1.219916e-01,2.058189e-02,2.933937e-02,2.162280e-02,1.120962e-02	0.470224	0.299109	0.012221	-3174489.991605	15
69	116	Mcapitata_HTAC_TP11_1248	Mcapitata_HTHC_TP4_2204	2023253	0.938786	0.000000	0.000182	0.031026	0.000000	0.000000	0.000000	0.030006	0.000000	0.000182	0.030006	0.061032	0.000091	0.000000	0.000000	0.030188	0.000000	0.030188	0.045701	-0.015513	-2717985.727178	90	-1	0.157303	4.561048e-01,1.464602e-01,3.603116e-02,1.640117e-01,1.104229e-01,2.471124e-02,3.302219e-02,1.782710e-02,1.140868e-02	0.625353	0.261626	-0.048242	-3042002.540696	14
